ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
376683,Sion,Mumbai,Royal Falooda And Juice Centre,540.3494887694724,3.9,20.0,Continental  Beverages  Ice Cream,Matunga Wadala,53
376701,Baguiati,Kolkata,Rajgharana,552.5328047159405,2.9,80.0,Indian  Chinese  South Indian  Bengali  Snacks,Lake Town,88
376908,Matunga Wadala,Mumbai,Shri Balaji Snacks Center,478.1406655861351,3.9,20.0,"Indian,Snacks",Matunga Wadala,63
376913,Magarpatta,Pune,Malabar Food Centre,548.3225903634847,2.9,80.0,"North Indian,Indian",Magarpatta,82
376914,Somajiguda & Khairtabad,Hyderabad,Theobroma,1500.0,4.6,500.0,"Desserts,Bakery,Beverages",Somajiguda & Khairtabad,52
376952,South Kolkata,Kolkata,The Yellow Turtle,744.3656321974125,4.4,100.0,"Asian,Chinese,Continental",South Kolkata,71
376990,Perambur,Chennai,Delight Cake Treat,588.1575656114761,2.9,80.0,"Bakery,Desserts",Perambur,53
377056,T Nagar,Chennai,The Earthen Foods,465.967703687756,3.3,20.0,"Biryani,Italian,Chinese",T Nagar,70
377065,Rajajinagar,Bangalore,Karavali Mess,493.0866935910402,4.3,20.0,Indian,Rajajinagar,59
377134,T Nagar,Chennai,Subhodayam Restaurant,573.5209925627433,3.9,50.0,"Chinese,South Indian,Andhra,Biryani,Desserts",T Nagar,64
377149,Navrangpura,Ahmedabad,Tea Post  A Place To Talk,500.7404534749173,2.9,80.0,"Indian,Beverages,Snacks",Navrangpura,38
377176,Nehru Stadium Dark Kitchen Metro Manor Sydenhams,Chennai,Wow! Momo,665.9700051189631,4.2,100.0,"Tibetan,Fast Food,Healthy Food,Asian,Chinese,Snacks,Continental,Desserts,Beverages",Sydenhams Road,30
377203,Frazer Town,Bangalore,Amma'S Pastries,628.1031999599949,4.4,50.0,"Bakery,Desserts",Frazer Town,44
377204,Salt Lake,Kolkata,Afraa Lounge,557.684991618302,4.2,20.0,"Chinese,Continental,Indian,Combo",Salt Lake,69
377226,Powai,Mumbai,Tuliip'S Kitchen,531.6553258918523,2.9,80.0,"Thalis,Biryani",Powai,54
377305,Santoshnagar & Saidabad,Hyderabad,Shawarma Station,418.40324885843984,3.1,20.0,"Arabian,Lebanese",Santoshnagar & Saidabad,58
377312,Sinhgad Road,Pune,Culture Biryani And Grill,585.9194628601169,4.6,20.0,"Indian,Continental",Sinhgad Road,82
377315,Kalyani Nagar,Pune,Rocomamas,609.4756537250888,4.2,50.0,"American,Fast Food",Kalyani Nagar,59
377316,Abids & Koti,Hyderabad,Ram Ki Bandi,646.5537810095371,4.1,100.0,South Indian,Himayath Nagar,28
