ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,price_log
43620,Himayatnagar,Hyderabad,The Platinum Hotel-Clove,800.0,4.0,100.0,"North Indian,South Indian,Continental,Chinese",Himayat Nagar Rd,37,6.684611727667927
43802,Chembur,Mumbai,Keventers - Milkshakes And Desserts,300.0,4.3,100.0,Beverages  Ice Cream  Desserts  Healthy Food,Sion Trombay Road,46,5.703782474656201
43931,Santacruz East,Mumbai,Baskin Robbins,350.0,4.7,50.0,"Ice Cream,Desserts",Opposite Mumbai University Main Gate,29,5.857933154483459
43996,Jamalia,Chennai,Hunger Square,250.0,4.5,20.0,"Italian,Fast Food",Perambur,49,5.521460917862246
44174,Agarkar Nagar,Pune,Uncle Kitchen,250.0,2.9,80.0,"Fast Food,North Indian,Chinese",Camp,40,5.521460917862246
44245,Kurla,Mumbai,Sawali Restaurant (Pure Veg),550.0,4.3,100.0,"South Indian,Indian,Chinese",Kurla,36,6.309918278226516
44272,Koregaon Park,Pune,Fantasy Juice Bar & Snacks,250.0,2.9,80.0,Juices,Bundgarden Road,47,5.521460917862246
44304,Santacruz East,Mumbai,Vijay Stores,200.0,4.3,100.0,"Snacks,Sweets",Scruz Bandra East,40,5.298317366548036
44372,Ambawadi,Ahmedabad,Real Paprika,250.0,2.9,80.0,"Pizzas,Italian",Amabawadi,36,5.521460917862246
44388,Ellisbridge,Ahmedabad,Alinea Restaurant & Banquet,550.0,4.1,100.0,"Indian,Chinese,Continental,Italian,Mexican",Paldi,32,6.309918278226516
44462,Koramangala,Bangalore,Xo Belgian Waffle,250.0,4.3,100.0,Desserts,Koramangala,50,5.521460917862246
44605,Memnagar,Ahmedabad,Dinner Bell 2,400.0,4.1,500.0,"Indian,Chinese,Continental",Gurukul,47,5.991464547107982
44907,Aundh,Pune,Darshini,200.0,4.1,20.0,South Indian,Aundh,67,5.298317366548036
44930,Bidhannagar,Kolkata,Momo'S Corner - Swimming Pool,100.0,2.9,80.0,Tibetan,Near Swimming Pool,69,4.605170185988091
45184,Central Kolkata,Kolkata,Oye!! Paratha,150.0,2.9,80.0,North Indian,Munsi Para ( Lalabagan),61,5.0106352940962555
45221,Jorasanko,Kolkata,Jay Ambe Bhojanalaya,200.0,3.9,100.0,North Indian,Ballav Das Street,45,5.298317366548036
45469,Karve Nagar,Pune,Paramhans Pure Veg,300.0,4.0,100.0,"Rajasthani,Indian,Chinese",Karve Nagar,56,5.703782474656201
45547,Ghatkopar East,Mumbai,Shree Sadguru'S Pure Veg Restaurant,350.0,4.0,100.0,"Indian,Chinese,South Indian,Fast Food",Pantnagar Ghatgopar East,50,5.857933154483459
45575,Ramanthapur,Hyderabad,Sri Santhosh Family Dhaba,400.0,4.1,100.0,"North Indian,Tandoor,Punjabi,Chinese",Ramanthapur,48,5.991464547107982
45634,Ahmedabad,Ahmedabad,Deepti'S Delicious Homely Food,150.0,4.5,500.0,Indian,Mithakhali Six Road,28,5.0106352940962555
45691,Prashant Vihar Rohini,Delhi,Hot Spot Mini Shop,300.0,3.8,100.0,"Italian,Beverages,Fast Food,Snacks",Prashant Vihar,48,5.703782474656201
45915,Vastrapur,Ahmedabad,Shiva'S Coffee Bar & Snacks,250.0,3.7,50.0,"Fast Food,Pizzas,Beverages",Vastrapur,47,5.521460917862246
45974,Somajiguda,Hyderabad,Maa Santosh Dhaba,400.0,4.1,100.0,"North Indian,Chinese",Rajbhavan Road,54,5.991464547107982
46125,Bidhannagar,Kolkata,Plush 28,1200.0,4.4,20.0,"Indian,Chinese,Oriental,Italian",Near Tank No.4,63,7.090076835776092
46222,Kilpauk,Chennai,Prive Restaurant,1200.0,4.4,20.0,"Continental,North Indian",New 71 Ormes Road,48,7.090076835776092
46280,Maninagar,Ahmedabad,Tummy Fillers,200.0,4.0,100.0,"Fast Food,Italian,Snacks",Jawahar Chowk,38,5.298317366548036
46287,Kachiguda,Hyderabad,Balaji Santosh Dhaba,350.0,4.0,500.0,"North Indian,Chinese",Kachiguda Station Rd,27,5.857933154483459
46321,Andheri East,Mumbai,Amar Juice Centre,550.0,4.2,500.0,"Indian,Chinese",Marol,43,6.309918278226516
46376,Maninagar,Ahmedabad,Real Paprika - Maninagar,400.0,3.7,20.0,"Fast Food,Pizzas",Jawahar Chowk,47,5.991464547107982
46543,Maninagar,Ahmedabad,City Corner - Maninagar,250.0,4.2,1000.0,"South Indian,Fast Food,Chinese,North Indian",Rambaug,37,5.521460917862246
46548,Maninagar,Ahmedabad,Charlie,149.0,2.9,80.0,"Pizzas,Pastas,Snacks,Beverages",Jawahar Chowk,49,5.003946305945459
46567,Maninagar,Ahmedabad,Choice Corner Restaurant,,4.2,500.0,"Indian,Chinese,Combo,Thalis,Beverages,North Indian,Punjabi",Maninagar,35,
46717,Maninagar,Ahmedabad,Shree Annapurna- Maninagar,200.0,4.3,100.0,"North Indian,Combo,Punjabi,Chinese,Thalis,Beverages",Maninagar,35,5.298317366548036
46728,Maninagar,Ahmedabad,Ms Food,400.0,3.9,1000.0,Fast Food,Maninagar,39,5.991464547107982
46868,Sector 2 Rohini,Delhi,Kushal Bhojnalaya,200.0,4.2,100.0,North Indian,Rohini,29,5.298317366548036
46904,Chennai,Chennai,Maggevala Curly Cravings,200.0,4.1,100.0,"Fast Food,Beverages",Ormes Road,46,5.298317366548036
46907,Maninagar,Ahmedabad,Mehmaan,250.0,3.6,500.0,"Gujarati,North Indian,Thalis",Maninagar,35,5.521460917862246
46943,T. Nagar,Chennai,Kovai Pazhamudir Nilayam,150.0,4.5,100.0,"Juices,Beverages",North Boag Road,62,5.0106352940962555
46979,Parvati Paytha,Pune,A1 Pizza Sandwich And Burger,200.0,2.9,80.0,Fast Food,Sant Nagar,57,5.298317366548036
47010,Mundhwa,Pune,Punjabi Chef,300.0,2.9,80.0,"North Indian,Thalis,Beverages,Desserts",Mundhwa,60,5.703782474656201
47493,3Rd Block Jayanagar,Bangalore,Hari Super Sandwich,100.0,4.0,1000.0,"Fast Food,Chaat,Snacks,Pizzas,North Indian,Indian",3Rd Block,42,4.605170185988091
47507,Sudhama Nagar,Bangalore,Bombay Kulfi,100.0,3.9,50.0,"Desserts,Ice Cream",Sudhamnagar,38,4.605170185988091
47705,Ghatkopar East,Mumbai,Cheese On Fire,300.0,2.9,80.0,Snacks,Ghatkopar E,50,5.703782474656201
47737,Kilpauk,Chennai,Kakada Ramprasad,400.0,4.5,1000.0,"North Indian,Tandoor,Indian,Mexican,Street Food",Ormes Road,38,5.991464547107982
47800,Navrangpura,Ahmedabad,Jasuben Shah Old Pizza,300.0,4.3,100.0,Pizzas,Navrangpura,35,5.703782474656201
47824,Himayatnagar,Hyderabad,Bombay Kulfis,100.0,4.4,20.0,Ice Cream,Himayatnagar,29,4.605170185988091
47834,Dharavi,Mumbai,Annai Dosa Corner,300.0,2.9,80.0,South Indian,Sion,55,5.703782474656201
47896,Ghatkopar West,Mumbai,Tosita Bakery,200.0,2.9,80.0,Bakery,Ghatkopar Vikhroli,50,5.298317366548036
47983,New Nallakunta,Hyderabad,Sri Raghavendra Curry Express,200.0,4.3,1000.0,"South Indian,Andhra",Rtc Cross Road,29,5.298317366548036
48056,Asalpha,Mumbai,Cheelizza- India Ka Pizza,500.0,4.2,500.0,"Italian,Fast Food,Chinese,Desserts,Pizzas",Marol,53,6.214608098422191
48133,Navrangpura,Ahmedabad,Ek One Uno Pizza,600.0,2.9,80.0,"Pizzas,Snacks",Navrangpura,56,6.396929655216146
48158,Venkateshwara Colony,Hyderabad,Scoops,300.0,4.4,100.0,Desserts  Ice Cream  Chaat,Ymca Circle,24,5.703782474656201
48190,Mumbai,Mumbai,Satus Sweets Snacks & Namkeen,200.0,4.2,100.0,"Sweets,Snacks",Chembur,46,5.298317366548036
48406,Kurla,Mumbai,Steamy Mugs,300.0,4.5,100.0,Fast Food,Kurla,36,5.703782474656201
48568,Basavanagudi,Bangalore,Chai Mane,100.0,3.7,20.0,"Fast Food,Snacks,Beverages",Basavanagudi,47,4.605170185988091
48834,Prashant Vihar Rohini,Delhi,Vaishno Rasoi,300.0,3.9,100.0,North Indian,Ground Floor Pvr Fun City Mall,48,5.703782474656201
48902,Ballygunge,Kolkata,Mithai,150.0,4.7,1000.0,Desserts,Opposite Quest Mall,50,5.0106352940962555
49083,Jogupalya,Bangalore,Popat,200.0,4.4,100.0,"Fast Food,North Indian",Doddaiah Layout Halasuru,48,5.298317366548036
49096,Ashok Nagar,Bangalore,Mtr,300.0,4.4,1000.0,South Indian,Central Bangalore,28,5.703782474656201
49135,Shivajinagar,Pune,Keventers - Milkshakes And Desserts,300.0,4.1,50.0,"Beverages,Ice Cream,Desserts,Healthy Food",Pavillion Mall Pune,51,5.703782474656201
49149,Taltala,Kolkata,Bhikharam Chandmal,250.0,3.9,100.0,Sweets  Snacks  Fast Food  Indian,Near Icici Bank Atm,46,5.521460917862246
49172,Shivajinagar,Pune,Housefull Paratha,700.0,2.9,80.0,"North Indian,Punjabi",Near Peter England Store,45,6.551080335043404
49281,Gandhinagar,Bangalore,Priyadarshini Restaurant,150.0,4.4,500.0,"South Indian,Desserts,Fast Food",Gandhinagar,35,5.0106352940962555
49297,Chembur,Mumbai,Sadguru Veg Diet-(Bmc),550.0,4.5,500.0,"North Indian,Fast Food",Bmc Office,45,6.309918278226516
49336,Bodakdev,Ahmedabad,Tephra Lounge,600.0,2.9,80.0,"Cafe,Fast Food,Beverages",Bodakdev,47,6.396929655216146
49348,Jorabagan,Kolkata,Jain Surbhi,150.0,3.5,100.0,"South Indian,North Indian",Near Hemant Chikitsha Kendra,54,5.0106352940962555
49356,Park Street Area,Kolkata,Jyoti Vihar,300.0,4.3,100.0,South Indian,Near Leather Planet,47,5.703782474656201
49523,Navrangpura,Ahmedabad,Vipul Dudhia ( Gajara ),200.0,4.4,100.0,"Sweets,Ice Cream",Navrangpura,32,5.298317366548036
49562,Naranpura,Ahmedabad,Season 9,250.0,4.1,1000.0,"Indian,Chinese,Continental",Naranpura,50,5.521460917862246
49767,Kachiguda,Hyderabad,Ibaco,800.0,4.2,50.0,"Ice Cream,Desserts",Barkatpura,28,6.684611727667927
49771,Ramgopalpet,Hyderabad,Sri Siddhi Udupi Tiffins & Restaurant,150.0,4.3,500.0,North Indian  South Indian,Sappu Bagh Apaprtment,55,5.0106352940962555
49843,Ashok Nagar,Bangalore,Ibaco,800.0,4.7,20.0,Desserts,Opp. To Brigade Towers,38,6.684611727667927
49860,Wanwadi,Pune,Havmor Havfunn,200.0,4.5,20.0,"Ice Cream,Ice Cream Cakes,Desserts",Wanowrie,60,5.298317366548036
50032,Amberpet,Hyderabad,Balaji Santosh Family Dhaba,300.0,4.2,500.0,"North Indian,Tandoor,Chinese",Shivam Road,35,5.703782474656201
50153,Ramdev Nagar,Ahmedabad,Frankie Station,300.0,4.4,50.0,Snacks,Satellite,49,5.703782474656201
50236,Periyamet,Chennai,Bombay Kulfi,150.0,4.6,100.0,"Ice Cream,Desserts",Vepery,28,5.0106352940962555
50343,Bkc,Mumbai,Snaxx,500.0,5.0,20.0,Snacks,Bkc,44,6.214608098422191
50362,Khairtabad,Hyderabad,Sukha Sagara North Indian & Chinese,300.0,3.9,100.0,"North Indian,Chinese",Ag Office Road,40,5.703782474656201
50366,Ellisbridge,Ahmedabad,Khichdi Etc,500.0,4.4,100.0,"North Indian,Gujarati,Indian,Desserts",Navrangpura,33,6.214608098422191
50384,Nungambakkam,Chennai,Id,300.0,4.4,500.0,South Indian,Pushpa Nagar Main Road - Nungambakkam,59,5.703782474656201
50493,Ghatkopar East,Mumbai,Pizzas Etc,600.0,4.3,50.0,"Italian,Jain,Fast Food",Ghatkopar East,48,6.396929655216146
